,0
197,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
198,"Harlingen/San Benito, TX: Valley International"
199,"State College, PA: University Park"
200,"Mobile, AL: Mobile Regional"
201,"Sitka, AK: Sitka Rocky Gutierrez"
202,"West Yellowstone, MT: Yellowstone"
203,"Ketchikan, AK: Ketchikan International"
204,"Newark, NJ: Newark Liberty International"
205,"Harrisburg, PA: Harrisburg International"
206,"Huntsville, AL: Huntsville International-Carl T Jones Field"
207,"Portland, ME: Portland International Jetport"
208,"Erie, PA: Erie International/Tom Ridge Field"
209,"Waco, TX: Waco Regional"
210,"Manchester, NH: Manchester-Boston Regional"
211,"Santa Fe, NM: Santa Fe Municipal"
